         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 proactor_events.py:50(__init__)
       54    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      107    0.000    0.000    0.000    0.000 base_events.py:1917(_timer_handle_cancelled)
        1    0.000    0.000    0.000    0.000 _adapters.py:63(_repair_headers)
        4    0.000    0.000    0.000    0.000 message.py:600(get_content_type)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       54    0.000    0.000    0.000    0.000 streams.py:211(_stream_reader)
      103    0.000    0.000    0.000    0.000 connection.py:285(is_connected)
        1    0.000    0.000    0.000    0.000 feedparser.py:182(close)
        1    0.000    0.000    0.000    0.000 futures.py:411(wrap_future)
        1    0.000    0.000    0.000    0.000 thread.py:54(run)
        1    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.000    0.000 thread.py:184(_adjust_thread_count)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       50    0.000    0.000    0.000    0.000 {function CaseInsensitiveDict.__contains__ at 0x00000180F3B75BC0}
        1    0.000    0.000    0.000    0.000 __init__.py:777(find_distributions)
        1    0.000    0.000    0.000    0.000 _base.py:537(set_result)
        1    0.000    0.000    0.000    0.000 _base.py:337(_invoke_callbacks)
       55    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 futures.py:396(_call_set_state)
      110    0.000    0.000    0.000    0.000 windows_events.py:429(_check_closed)
        1    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        8    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.000    0.000 futures.py:383(_set_state)
        1    0.000    0.000    0.000    0.000 thread.py:127(__init__)
      115    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:790(_search_paths)
        1    0.000    0.000    0.000    0.000 base_events.py:842(call_soon_threadsafe)
        3    0.000    0.000    0.000    0.000 message.py:624(get_content_maintype)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 threading.py:323(wait)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       15    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.000    0.000 futures.py:347(_copy_future_state)
        1    0.000    0.000    0.000    0.000 threading.py:975(start)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
      100    0.000    0.000    0.000    0.000 locks.py:141(_wake_up_first)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 __init__.py:750(__init__)
       50    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
